Company, Position, Location, URL
㈜연세교육아카데미,[국비무료 IT취업교육]빅데이터/자바/파이썬/정보보안/웹개발 교육생 모집,경기 수원시 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40522264?Oem_Code=C1&logpath=1&stext=python&listno=1
휴먼교육센터학원,[전액무료] IT취업 자바/파이썬/인공지능/빅데이터 교육생 모집,서울 영등포구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40487837?Oem_Code=C1&logpath=1&stext=python&listno=2
㈜코난테크놀로지,Python 개발자 (ML/DL 개발) 채용,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/40558776?Oem_Code=C1&logpath=1&stext=python&listno=3
㈜위대한상상,[Python] Backend Developer (Python/Tech Lead/10년이상),서울 서초구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40556621?Oem_Code=C1&logpath=1&stext=python&listno=4
㈜코리아인,[파이썬 /SAS] 금융사 데이터 분석 지원팀,서울 영등포구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40542152?Oem_Code=C1&logpath=1&stext=python&listno=5
한국직업전문학교,빅데이터 플랫폼 응용 SW개발자 양성 과정 (Java  Python) 교육과정 강사모집,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/40482281?Oem_Code=C1&logpath=1&stext=python&listno=6
링크제니시스,차량용 SW Test 자동화 개발(Python) 및 검증,인천 서구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40468967?Oem_Code=C1&logpath=1&stext=python&listno=7
한국직업전문학교,빅데이터 자바(java) 파이썬 S/W 개발자 양성과정(스프링  풀스택  시각화) 교육과정 강사모집,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/40412508?Oem_Code=C1&logpath=1&stext=python&listno=8
오상자이엘 ㈜,프로그래머(JAVA  Python  Oracle SQL) 및 PL  PM 모집,인천 부평구,https://www.jobkorea.co.kr/Recruit/GI_Read/40381323?Oem_Code=C1&logpath=1&stext=python&listno=9
㈜비타소프트,인공지능(딥러닝)개발자  Python 능력자(병역 특례  보충역 가능) 모십니다,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/40357698?Oem_Code=C1&logpath=1&stext=python&listno=10
교육지대㈜,TechLab Python 개발자 채용,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/40080614?Oem_Code=C1&logpath=1&stext=python&listno=11
㈜핸디소프트,[개발자채용] Python 신입/경력 모집,경기 안양시,https://www.jobkorea.co.kr/Recruit/GI_Read/39713099?Oem_Code=C1&logpath=1&stext=python&listno=12
㈜이글루코퍼레이션,연구소 IT개발(서버/백엔드/프론트엔드/Python/웹 퍼블리셔/QA 엔지니어) 대규모 채용,서울 송파구,https://www.jobkorea.co.kr/Recruit/GI_Read/40427404?Oem_Code=C1&logpath=1&stext=python&listno=13
㈜포이시스,[본사/대구/부산] Java / Python 활용 / Android/ios/ 금융솔루션 개발자 및 디자이너 채용 공고(경력  신입),서울 금천구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/39874256?Oem_Code=C1&logpath=1&stext=python&listno=14
㈜아이티존,[경력&신입]빅데이터솔루션개발-Python Java(정규직),대전 유성구,https://www.jobkorea.co.kr/Recruit/GI_Read/40564010?Oem_Code=C1&logpath=1&stext=python&listno=15
㈜씨씨미디어서비스,[시청역 인근] 빅데이터 분석 전문가   빅데이터(파이썬 R) 강사,서울 구로구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40562575?Oem_Code=C1&logpath=1&stext=python&listno=16
㈜씨씨미디어서비스,[충남대 인근] 빅데이터 분석 전문가 (파이썬 R),서울 구로구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40562880?Oem_Code=C1&logpath=1&stext=python&listno=17
기술좋은직업전문학교,[국비무료] 취업연계 교육(빅데이터&자바&파이썬),부산 북구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40559762?Oem_Code=C1&logpath=1&stext=python&listno=18
푸른IT,기흥 S전자 장기 프로젝트 ( 파이썬 개발자 ) 1월부터 연단위 계약,경기 용인시,https://www.jobkorea.co.kr/Recruit/GI_Read/40555586?Oem_Code=C1&logpath=1&stext=python&listno=19
두타위즈,JAVA  Python 웹 개발 신입/경력 사원 모집,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/40556380?Oem_Code=C1&logpath=1&stext=python&listno=20
시스메틱,백엔드 엔지니어 모집(Python/Javascript),서울 영등포구,https://www.jobkorea.co.kr/Recruit/GI_Read/40556690?Oem_Code=C1&logpath=1&stext=python&listno=21
메가스터디아이티아카데미신촌학원,[메가스터디IT아카데미] 프로그래밍  C언어  JAVA  Python 강사채용,서울 마포구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40556550?Oem_Code=C1&logpath=1&stext=python&listno=22
